"Kod";Nazwa;ludność w tysiącach;
0000000;"POLSKA";37636,51;
0200000;"DOLNOŚLĄSKIE";2879,27;
0201000;"Powiat bolesławiecki";87,64;
0201011;"Bolesławiec (1)";37,06;
0201022;"Bolesławiec (2)";15,27;
0201032;"Gromadka (2)";5,00;
0201043;"Nowogrodziec (3)";14,62;
0201044;"Nowogrodziec - miasto (4)";4,10;
0201045;"Nowogrodziec - obszar wiejski (5)";10,52;
0201052;"Osiecznica (2)";7,28;
0201062;"Warta Bolesławiecka (2)";8,41;
0202000;"Powiat dzierżoniowski";94,74;
0202011;"Bielawa (1)";28,03;
0202021;"Dzierżoniów (1)";30,61;
0202033;"Pieszyce (3)";8,90;
0202034;"Pieszyce - miasto (4)";6,77;
0202035;"Pieszyce - obszar wiejski (5)";2,14;
0202041;"Piława Górna (1)";5,90;
0202052;"Dzierżoniów (2)";9,15;
0202062;"Łagiewniki (2)";7,12;
0202073;"Niemcza (3)";5,02;
0202074;"Niemcza - miasto (4)";2,68;
0202075;"Niemcza - obszar wiejski (5)";2,34;
0203000;"Powiat głogowski";85,04;
0203011;"Głogów (1)";62,05;
0203022;"Głogów (2)";7,21;
0203032;"Jerzmanowa (2)";5,88;
0203042;"Kotla (2)";4,41;
0203052;"Pęcław (2)";2,10;
0203062;"Żukowice (2)";3,40;
0204000;"Powiat górowski";32,46;
0204013;"Góra (3)";18,46;
0204014;"Góra - miasto (4)";10,70;
0204015;"Góra - obszar wiejski (5)";7,76;
0204022;"Jemielno (2)";2,72;
0204032;"Niechlów (2)";4,51;
0204043;"Wąsosz (3)";6,77;
0204044;"Wąsosz - miasto (4)";2,55;
0204045;"Wąsosz - obszar wiejski (5)";4,22;
0205000;"Powiat jaworski";47,21;
0205011;"Jawor (1)";20,50;
0205023;"Bolków (3)";9,59;
0205024;"Bolków - miasto (4)";4,63;
0205025;"Bolków - obszar wiejski (5)";4,96;
0205032;"Męcinka (2)";5,22;
0205042;"Mściwojów (2)";3,98;
0205052;"Paszowice (2)";4,20;
0205062;"Wądroże Wielkie (2)";3,72;
0206000;"Powiat karkonoski";60,44;
0206011;"Karpacz (1)";4,21;
